Order_Id,Symbol,Qty,Price,Unrealised_Profit_Per_Unit,Total_Unrealised_Profit,Transaction_Time
c2986158-8920-48ac-9385-4dde712f017d,GOOG,2,98.24,-2.39,-4.78,2022-11-25 14:53:41.017744+00:00
8be89720-72c9-4e24-a824-ee5ccba6eb48,GOOG,2,98.22,-2.37,-4.74,2022-11-25 14:53:38.517282+00:00
16c45099-b77c-449b-9119-2301e1686eef,AMZN,5,94.11,-1.84,-9.2,2022-11-21 14:30:07.186233+00:00
bbfb0d8c-587f-4d17-b80b-97df5a1ede04,BTC/USD,1,16529.5,1293.4,1293.4,2022-11-20 12:31:58.420784+00:00
